Date,Open_^VIX,High_^VIX,Low_^VIX,Close_^VIX,Volume_^VIX,Open_QQQ,High_QQQ,Low_QQQ,Close_QQQ,Volume_QQQ,Open_SOXL,High_SOXL,Low_SOXL,Close_SOXL,Volume_SOXL,Open_SMH,High_SMH,Low_SMH,Close_SMH,Volume_SMH,Open_SOXX,High_SOXX,Low_SOXX,Close_SOXX,Volume_SOXX
2022-01-03,17.600000381469727,18.540000915527344,16.559999465942383,16.600000381469727,0,389.11494751871527,391.9330102493387,386.9989900897427,391.6794738769531,40575900,67.00846557395046,69.97799101926732,66.36797562874384,69.9682846069336,15794800,151.83066510128702,153.97669356079763,151.41122355607266,153.92791748046875,7155200,175.84863465942453,178.31901453133008,175.1561445110914,178.1450958251953,1699800
2022-01-04,16.56999969482422,17.809999465942383,16.34000015258789,16.90999984741211,0,392.2254861401049,392.2644985987434,383.4983306997785,386.5991516113281,58027200,70.43409974727544,72.01590446260549,64.08746065647243,68.96874237060547,21988000,154.61072765413073,155.43499423836758,149.82120564161858,153.12802124023438,11485600,178.93744421228266,180.05185989746897,173.32029376479107,177.5975799560547,3504600
2022-01-05,17.06999969482422,20.170000076293945,16.579999923706055,19.729999542236328,0,384.9122539075164,386.0336464702579,374.4689062551625,374.7224426269531,75739800,67.53248892732012,69.30838467234383,62.04953982617171,62.11747360229492,20821000,151.9330934697128,153.0890135954684,147.78737983609886,147.8751678466797,16288400,176.2383653076645,177.75217772925845,171.4103218946527,171.56492614746094,3751800
2022-01-06,20.290000915527344,21.059999465942383,19.079999923706055,19.610000610351562,0,372.8990259695072,377.70627821124435,370.66603102709007,374.45916748046875,70814300,62.195092935189074,64.42709343026047,60.021323497330556,63.60222625732422,19343100,147.7532234521956,149.98702477908014,146.20710970505158,149.34323120117188,13102400,171.53915253284782,173.70678198813206,169.68073158079258,172.89834594726562,2934300
2022-01-07,19.850000381469727,20.799999237060547,18.56999969482422,18.760000228881836,0,374.4688727948862,376.15581200805264,368.62801427276884,370.4026794433594,72652300,63.15583336653052,64.0971553354372,57.39145423574773,57.973716735839844,22625900,149.0603574101314,149.54320637461717,144.46105729533394,144.80247497558594,13858800,172.73088747971875,173.3621759500579,167.35851452453332,167.88351440429688,2284500
2022-01-10,19.579999923706055,23.329999923706055,19.290000915527344,19.399999618530273,0,365.4882095760822,371.1633176681869,360.1153811127312,370.646484375,91770500,55.644681954005016,58.41041718664977,52.22875406023134,58.226036071777344,25112700,142.90518690028264,145.2219092135125,140.33484981850376,144.98779296875,14787800,165.80605892609853,168.30865468953237,162.33076553278204,167.9447021484375,5377500
2022-01-11,19.6200008392334,21.0,18.200000762939453,18.40999984741211,0,369.9151368337182,376.38007583133276,367.8284314531936,376.2143249511719,68295700,57.34293553919653,61.56432124664274,56.1687114856472,61.418758392333984,22053900,144.59761950973308,148.06537999933371,143.47584409098792,147.9141845703125,9939800,167.3810399091049,171.30403061305793,166.14423539388446,171.10433959960938,3157200
2022-01-12,18.170000076293945,18.690000534057617,17.360000610351562,17.6200008392334,0,378.78861868723953,380.4853186605125,375.42453016489463,377.7062683105469,54576400,63.06850167192473,64.43681712421281,60.787983321934895,62.67062759399414,19392000,149.16276734680292,150.41137241855273,147.60691912783054,149.17739868164062,11784600,172.75664204611348,173.94835990583616,170.64377116117808,172.36048889160156,3571500
2022-01-13,18.059999465942383,20.610000610351562,17.450000762939453,20.309999465942383,0,379.0908904526993,379.77347465001475,367.32141651006964,368.25750732421875,77994000,65.50428681352321,67.13461602592382,57.81845227098733,58.42012023925781,28866500,152.1720807932905,153.54748586501705,146.16811302709965,146.5826873779297,16958600,174.9951388832964,176.4541778701933,167.9092627222128,168.33763122558594,3268800
2022-01-14,20.110000610351562,22.06999969482422,19.049999237060547,19.190000534057617,0,365.7319684702098,370.8805122336766,365.5271753703041,370.5489807128906,80121200,57.02269832713124,62.63180917910656,56.828614495073296,62.573585510253906,23880600,145.57796048477624,149.9236456673635,145.2853188953459,149.6895294189453,11727200,167.0042125959262,172.52796069043237,166.98166921285758,172.36692810058594,3401700
2022-01-18,21.18000030517578,23.200000762939453,21.18000030517578,22.790000915527344,0,364.72762394855044,366.85334186828857,360.5639140718845,361.3244934082031,75450900,59.10912963551681,59.565234760340125,53.8590823015831,54.32489013671875,29055200,147.1533103783886,147.19720438063447,142.7100882778681,142.9929656982422,12497400,169.61307483667048,169.63561821681506,164.30188985989906,164.66262817382812,7686000
2022-01-19,23.1200008392334,23.989999771118164,21.850000381469727,23.850000381469727,0,362.884653494914,365.36142397943667,357.09253804936543,357.3558349609375,81791500,55.78054123077551,56.44043659197721,49.230112276247276,49.31745147705078,28683300,144.31959598800356,145.19263862182186,138.9496879457942,139.04234313964844,17539000,165.99928991425924,167.02030311634925,159.70576453657637,159.8184814453125,9931800
2022-01-20,23.459999084472656,25.889999389648438,21.68000030517578,25.59000015258789,0,360.5834459873392,364.5618542293534,352.1780605741962,352.71435546875,88610700,50.57901378952279,51.627084177571234,44.455578254823955,44.63025665283203,32438800,140.18853859749933,141.23229023715547,134.77472071583367,134.78448486328125,16708800,161.05207897589892,162.33075615865192,154.60072015109705,154.80685424804688,8349900
2022-01-21,25.3799991607666,29.790000915527344,25.309999465942383,28.850000381469727,0,350.5202909385259,353.1628118444406,342.65120226476904,342.9339904785156,143388900,43.883024737640596,47.48333383108661,42.11683523134965,42.417667388916016,45826500,134.12603467785118,137.54015192419646,132.42385812802883,132.54090881347656,26521800,153.72464676540557,158.09533519884386,151.8919833609629,152.23016357421875,13946100
2022-01-24,28.200000762939453,38.939998626708984,28.020000457763672,29.899999618530273,0,337.2979996007993,345.167090689248,325.8307748104291,344.5039978027344,198685800,39.787792213569325,44.135335894139686,35.53729044787711,44.106224060058594,53548700,129.83400949548567,134.31625896778513,125.4639286369887,134.23822021484375,25135200,149.0479609372437,154.25607175822805,143.9493676020926,153.96942138671875,15465300
