Date,Open_QQQ,High_QQQ,Low_QQQ,Close_QQQ,Volume_QQQ,Open_^VIX,High_^VIX,Low_^VIX,Close_^VIX,Volume_^VIX,Open_SMH,High_SMH,Low_SMH,Close_SMH,Volume_SMH,Open_SOXL,High_SOXL,Low_SOXL,Close_SOXL,Volume_SOXL,Open_SOXX,High_SOXX,Low_SOXX,Close_SOXX,Volume_SOXX
2022-01-03,389.1148868831875,391.93294917467404,386.9989297839432,391.6794128417969,40575900,17.600000381469727,18.540000915527344,16.559999465942383,16.600000381469727,0,151.83066510128702,153.97669356079763,151.41122355607266,153.92791748046875,7155200,67.00844365398956,69.97796812790854,66.36795391830147,69.96826171875,15794800,175.8486647836018,178.31904507870175,175.15617451663996,178.14512634277344,1699800
2022-01-04,392.2254861401049,392.2644985987434,383.4983306997785,386.5991516113281,58027200,16.56999969482422,17.809999465942383,16.34000015258789,16.90999984741211,0,154.61071224759402,155.43497874969495,149.82119071234465,153.1280059814453,11485600,70.43409195578154,72.0158964961307,64.08745356705039,68.96873474121094,21988000,178.93744421228266,180.05185989746897,173.32029376479107,177.5975799560547,3504600
2022-01-05,384.9122539075164,386.0336464702579,374.4689062551625,374.7224426269531,75739800,17.06999969482422,20.170000076293945,16.579999923706055,19.729999542236328,0,151.9330934697128,153.0890135954684,147.78737983609886,147.8751678466797,16288400,67.53248892732012,69.30838467234383,62.04953982617171,62.11747360229492,20821000,176.23834963322508,177.7521619201823,171.41030664961397,171.56491088867188,3751800
2022-01-06,372.8989955790771,377.706247429034,370.666000818644,374.4591369628906,70814300,20.290000915527344,21.059999465942383,19.079999923706055,19.610000610351562,0,147.7532234521956,149.98702477908014,146.20710970505158,149.34323120117188,13102400,62.195104126092204,64.42710502277247,60.021334297102456,63.602237701416016,19343100,171.53915253284782,173.70678198813206,169.68073158079258,172.89834594726562,2934300
2022-01-07,374.4689036474791,376.15584299963297,368.6280446441318,370.4027099609375,72652300,19.850000381469727,20.799999237060547,18.56999969482422,18.760000228881836,0,149.06034170266125,149.54319061626606,144.4610420725223,144.80245971679688,13858800,63.155841677896376,64.09716377068187,57.391461788515976,57.973724365234375,22625900,172.7308717803561,173.36216019331798,167.35849931346107,167.8834991455078,2284500
2022-01-10,365.48826976181425,371.1633787884512,360.115440413708,370.64654541015625,91770500,19.579999923706055,23.329999923706055,19.290000915527344,19.399999618530273,0,142.90518690028264,145.2219092135125,140.33484981850376,144.98779296875,14787800,55.64467466284695,58.41040953309566,52.22874721666449,58.22602844238281,25112700,165.80607399057897,168.30866998138873,162.3307802815111,167.94471740722656,5377500
2022-01-11,369.9151068271147,376.38004530030935,367.8284016158585,376.21429443359375,68295700,19.6200008392334,21.0,18.200000762939453,18.40999984741211,0,144.59760459308,148.0653647249474,143.47582929005694,147.91416931152344,9939800,57.34293910074589,61.56432507038087,56.16871497426592,61.41876220703125,22053900,167.38105483585656,171.3040458896551,166.14425021034,171.10435485839844,3157200
2022-01-12,378.7885268721528,380.4852264341603,375.4244391652339,377.7061767578125,54576400,18.170000076293945,18.690000534057617,17.360000610351562,17.6200008392334,0,149.16276734680292,150.41137241855273,147.60691912783054,149.17739868164062,11784600,63.06849399409383,64.43680927980597,60.78797592172965,62.67061996459961,19392000,172.75664204611348,173.94835990583616,170.64377116117808,172.36048889160156,3571500
2022-01-13,379.0908276220135,379.7734117061971,367.3213556300615,368.2574462890625,77994000,18.059999465942383,20.610000610351562,17.450000762939453,20.309999465942383,0,152.17206495266345,153.54746988121474,146.16809781146645,146.58267211914062,16958600,65.5042910908,67.13462040965729,57.81845604639708,58.42012405395508,28866500,174.9951388832964,176.4541778701933,167.9092627222128,168.33763122558594,3268800
2022-01-14,365.73199859106967,370.8805427785589,365.5272054742977,370.54901123046875,80121200,20.110000610351562,22.06999969482422,19.049999237060547,19.190000534057617,0,145.57796048477624,149.9236456673635,145.2853188953459,149.6895294189453,11727200,57.0226913745384,62.63180154261301,56.82860756614447,62.573577880859375,23880600,167.0042125959262,172.52796069043237,166.98166921285758,172.36692810058594,3401700
2022-01-18,364.727654753558,366.8533728528349,360.5639445252238,361.32452392578125,75450900,21.18000030517578,23.200000762939453,21.18000030517578,22.790000915527344,0,147.1533260811283,147.19722008805812,142.71010350647128,142.99298095703125,12497400,59.109133786163675,59.56523894301473,53.859086083571306,54.324893951416016,29055200,169.61309055420247,169.6356339364361,164.3019050852596,164.6626434326172,7686000
2022-01-19,362.8847154743736,365.3614863819202,357.09259903955143,357.35589599609375,81791500,23.1200008392334,23.989999771118164,21.850000381469727,23.850000381469727,0,144.31959598800356,145.19263862182186,138.9496879457942,139.04234313964844,17539000,55.78054123077551,56.44043659197721,49.230112276247276,49.31745147705078,28683300,165.9993057631656,167.02031906273763,159.7057797846037,159.81849670410156,9931800
2022-01-20,360.583414788911,364.56182268670506,352.1780301030194,352.7143249511719,88610700,23.459999084472656,25.889999389648438,21.68000030517578,25.59000015258789,0,140.18852272692388,141.23227424841812,134.77470545815,134.7844696044922,16708800,50.57900946636536,51.62707976483172,44.45557445505704,44.630252838134766,32438800,161.0521107246185,162.33078815944128,154.6007506280393,154.806884765625,8349900
2022-01-21,350.5203533238867,353.1628747001155,342.6512632495949,342.9340515136719,143388900,25.3799991607666,29.790000915527344,25.309999465942383,28.850000381469727,0,134.12603467785118,137.54015192419646,132.42385812802883,132.54090881347656,26521800,43.8830207911611,47.483329560824835,42.116831443706765,42.41766357421875,45826500,153.72464676540557,158.09533519884386,151.8919833609629,152.23016357421875,13946100
2022-01-24,337.2979398423168,345.1670295366128,325.8307170835743,344.5039367675781,198685800,28.200000762939453,38.939998626708984,28.020000457763672,29.899999618530273,0,129.83399473732098,134.31624370012545,125.46391437556882,134.2382049560547,25135200,39.78778877236833,44.13533207692457,35.53728737429719,44.10622024536133,53548700,149.04794616618474,154.25605647103117,143.94935333631815,153.9694061279297,15465300
2022-01-25,338.0390105045912,342.2904458089716,333.1732257177589,336.517822265625,124398400,32.290000915527344,35.849998474121094,29.1299991607666,31.15999984741211,0,130.438787271556,132.04829370962182,128.20497082888264,128.92193603515625,16935400,40.53502297030699,42.0683065514467,38.215686626119506,39.00173568725586,40326300,150.01101117134388,151.85656080544368,147.369911605495,148.2234344482422,10710300
